Replicate Name,File Name,Sample Type,Isotope Label Type,Fragment Ion Type,Transition Note,Analyte Concentration,Molecule List Name,Molecule Name,Precursor Mz,Product Mz,Points Across Peak,Background,Area,Fwhm
34_t12_Euph_68,mtab_Zoop2_BC_lumos_071423_034.raw,Unknown,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,12,0,0,0.08
35_t12_Euph_15,mtab_Zoop2_BC_lumos_071423_035.raw,Unknown,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,11,0,1587,0.01
36_t12_Cpy_3,mtab_Zoop2_BC_lumos_071423_047.raw,Unknown,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,11,0,0,0.08
37_t12_Cpy_9,mtab_Zoop2_BC_lumos_071423_028.raw,Unknown,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,13,0,0,0.08
38_t12_Amph_17,mtab_Zoop2_BC_lumos_071423_048.raw,Unknown,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,11,0,0,0.07
39_t12_Amph_21,mtab_Zoop2_BC_lumos_071423_037.raw,Unknown,light,precursor,,,molecules,2′deoxycytidine,330.1095,330.1095,11,0,0,0.07
,,,light,custom,,,molecules,2′deoxycytidine,330.1095,287.1306,#N/A,#N/A,#N/A,#N/A
,,,light,custom,,,molecules,2′deoxycytidine,330.1095,197.0703,#N/A,#N/A,#N/A,#N/A
MQ1,mtab_Zoop2_BC_lumos_071423_003.raw,Double Blank,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,16,0,0,0.07
MQ2,mtab_Zoop2_BC_lumos_071423_096.raw,Double Blank,heavyD5,precursor,,,molecules,2′deoxycytidine,335.1409,335.1409,14,0,0,0.08
1_std0,mtab_Zoop2_BC_lumos_071423_009.raw,Standard,heavyD5,precursor,,0,molecules,2′deoxycytidine,335.1409,335.1409,12,0,1372,0.02
2_std0,mtab_Zoop2_BC_lumos_071423_010.raw,Standard,heavyD5,precursor,,0,molecules,2′deoxycytidine,335.1409,335.1409,13,886,2959,0.01
3_std0,mtab_Zoop2_BC_lumos_071423_011.raw,Standard,heavyD5,precursor,,0,molecules,2′deoxycytidine,335.1409,335.1409,13,0,4600,0.01
4_std5,mtab_Zoop2_BC_lumos_071423_012.raw,Standard,heavyD5,precursor,,5,molecules,2′deoxycytidine,335.1409,335.1409,13,0,4776,0.01
5_std10,mtab_Zoop2_BC_lumos_071423_013.raw,Standard,heavyD5,precursor,,10,molecules,2′deoxycytidine,335.1409,335.1409,12,1803,1244,0.04
6_std20,mtab_Zoop2_BC_lumos_071423_014.raw,Standard,heavyD5,precursor,,20,molecules,2′deoxycytidine,335.1409,335.1409,13,0,3902,0.01
7_std30,mtab_Zoop2_BC_lumos_071423_015.raw,Standard,heavyD5,precursor,,30,molecules,2′deoxycytidine,335.1409,335.1409,13,0,703,0.01
8_std50,mtab_Zoop2_BC_lumos_071423_016.raw,Standard,heavyD5,precursor,,50,molecules,2′deoxycytidine,335.1409,335.1409,12,0,484,0.02
9_std70,mtab_Zoop2_BC_lumos_071423_017.raw,Standard,heavyD5,precursor,,70,molecules,2′deoxycytidine,335.1409,335.1409,13,0,747,0.02
10_std85,mtab_Zoop2_BC_lumos_071423_018.raw,Standard,heavyD5,precursor,,85,molecules,2′deoxycytidine,335.1409,335.1409,13,0,1594,0.03
11_std100,mtab_Zoop2_BC_lumos_071423_019.raw,Standard,heavyD5,precursor,,100,molecules,2′deoxycytidine,335.1409,335.1409,13,0,580,0.03
12_std300,mtab_Zoop2_BC_lumos_071423_020.raw,Standard,heavyD5,precursor,,300,molecules,2′deoxycytidine,335.1409,335.1409,13,0,863,0.02
